projectKey,status,name,location,state,ProjectCreateDate,deliveryDate,ProductName,collateralItemName,collateralQuantity,collateralUnitPrice,collateralTotalPrice,collateralGstRate,collateralSpecification,packingCharges,packingChargesGstRate,totalCost,grandTotal,instructions,pocId,clientId,branch,leadsConverted,leadsGenerated
12002.0,Approved,Jo Jeeta Wohi Sikandar Contest,NA,NA,2026-03-24,NA,NA,Gold Medal,271.0,200.0,54200.0,18.0,"3 inch, Metal",3000.0,18.0,57200.0,67496,NA,Rocky Rayat,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
10000.0,DELIVERED,JFM Posters,Gurugram,Haryana,2026-02-04,2026-02-05,JFM,Poster,60.0,300.0,18000.0,18.0,Poster 19x29 Inches,600.0,18.0,18600.0,21948,NA,Jyotika Sonal,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
10001.0,DELIVERED,JFM Posters,Gurugram,Haryana,2026-02-04,2026-02-05,JFM,Poster,1.0,300.0,300.0,18.0,Poster 19x29 Inches,10.0,18.0,310.0,366,NA,Jyotika Sonal,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1828.0,DELIVERED,Rakshak Certificate,Gurugram,Haryana,2026-02-19,2026-02-20,Rakshak Certificate,Certificate,100.0,10.0,1000.0,18.0,A4,100.0,18.0,1100.0,1298,NA,Yashika Nagpal,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
1826.0,DELIVERED,Table Presenters,Gurugram,Haryana,2026-02-19,2026-02-19,Table Presenter,Table Presenter,35.0,275.0,9625.0,18.0,A4,350.0,18.0,9975.0,11770,NA,Yashika Nagpal,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7001.0,DELIVERED,Fridge Magnets for North Region,NA,NA,2026-01-12,2026-02-09,Fridge Magnets,Fridge Magnets,5000.0,18.0,90000.0,18.0,NA,0.0,18.0,90000.0,"1,06,200.00",NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7002.0,DELIVERED,Fridge Magnets for South Region,NA,NA,2026-01-12,2026-02-09,Fridge Magnets,Fridge Magnets,5000.0,18.0,90000.0,18.0,NA,0.0,18.0,90000.0,"1,06,200.00",NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7003.0,DELIVERED,Fridge Magnets for East Region,NA,NA,2026-01-12,2026-02-09,Fridge Magnets,Fridge Magnets,5000.0,18.0,90000.0,18.0,NA,0.0,18.0,90000.0,"1,06,200.00",NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7004.0,DELIVERED,Fridge Magnets for West Region,NA,NA,2026-01-12,2026-02-09,Fridge Magnets,Fridge Magnets,5000.0,18.0,90000.0,18.0,NA,0.0,18.0,90000.0,"1,06,200.00",NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7005.0,DELIVERED,SCW Bookmarks,NA,NA,2026-02-24,2026-02-28,SCW Womens Day Bookmarks,Bookmarks,10000.0,9.75,97500.0,18.0,NA,0.0,18.0,97500.0,"1,15,050.00",NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7006.0,DELIVERED,SCW Silicone Band - East & West,NA,NA,2026-03-27,2026-04-07,SCW Silicone Band,Silicone Band,5000.0,11.5,57500.0,18.0,NA,4000.0,18.0,61500.0,72570,NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
7007.0,DELIVERED,SCW Silicone Band - Norht & South,NA,NA,2026-03-27,2026-04-07,SCW Silicone Band,Silicone Band,5000.0,11.5,57500.0,18.0,NA,4000.0,18.0,61500.0,72570,NA,Varun Khanor,NA,Gurugram HO,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
2902.0,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Certificate,1000.0,8.0,8000.0,18.0,A4,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Promise Card,1000.0,4.0,4000.0,18.0,A5,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Welcome Letter,1000.0,8.0,8000.0,18.0,A4,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Flyer,1000.0,8.0,8000.0,18.0,A4,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Invite Letter,1000.0,8.0,8000.0,18.0,A4,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
,DELIVERED,Elite Collaterals,NA,NA,2026-02-23,2026-02-26,NA,Poster A3,51.0,30.0,1530.0,18.0,A3,1500.0,18.0,39030.0,46055,NA,Preetam Singh,NA,Gurugram HO,NA,NA
